Airport Code,Location Code,Airport Name,City,Country,Timezone Offset (H),Timezone Offset (M),Timezone Offset (S),Latitude Direction,Latitude Degrees,Latitude Minutes,Latitude Seconds,Longitude Direction,Longitude Degrees,Latitude,Longitude
KABI,ABI,ABILENE RGNL,ABILENE,USA,32,24,40,N,99,40,54,W,546,32.411,-99.682
KABQ,ABQ,N/A,ALBUQUERQUE,USA,0,0,0,U,0,0,0,U,0,0,0
KACK,ACK,NANTUCKET MEM,NANTUCKET,USA,41,15,10,N,70,3,36,W,15,41.253,-70.06
KACT,ACT,WACO RGNL,WACO,USA,31,36,40,N,97,13,49,W,158,31.611,-97.23
KACY,ACY,ATLANTIC CITY INTERNATIONAL,ATLANTIC CITY,USA,39,27,27,N,74,34,37,W,23,39.458,-74.577
KADM,ADM,ARDMORE MUNI,ARDMORE,USA,34,18,11,N,97,1,10,W,233,34.303,-97.019
KADW,ADW,ANDREWS AFB,CAMP SPRINGS,USA,38,48,38,N,76,52,1,W,86,38.811,-76.867
KAEX,AEX,ALEXANDRIA INTERNATIONAL,ALEXANDRIA,USA,31,19,38,N,92,32,54,W,28,31.327,-92.548
KAFB,N/A,N/A,SHEPPARD,USA,0,0,0,U,0,0,0,U,0,0,0
KAGS,AGS,AUGUSTA RGNL AT BUSH FLD,BUSH FIELD,USA,33,22,11,N,81,57,52,W,44,33.37,-81.964
KAKR,AKR,AKRON FULTON INTERNATIONAL,AKRON,USA,41,2,15,N,81,28,0,W,326,41.038,-81.467
KALB,ALB,ALBANY INTERNATIONAL,ALBANY,USA,42,44,53,N,73,48,10,W,87,42.748,-73.803
KALI,ALI,ALICE INTERNATIONAL,ALICE,USA,27,44,27,N,98,1,37,W,55,27.741,-98.027
KAMA,AMA,AMARILLO INTERNATIONAL,AMARILLO,USA,35,13,9,N,101,42,21,W,1100,35.219,-101.706
KANB,ANB,ANNISTON METROPOLITAN,ANNISTON,USA,33,35,17,N,85,51,29,W,187,33.588,-85.858
KAND,AND,ANDERSON RGNL,ANDERSEN,USA,34,29,42,N,82,42,33,W,239,34.495,-82.709
KAOO,AOO,ALTOONA BLAIR CO,ALTOONA,USA,40,17,47,N,78,19,12,W,459,40.296,-78.32
KAPG,APG,PHILLIPS AAF,ABERDEEN,USA,39,27,58,N,76,10,10,W,18,39.466,-76.169
KARA,ARA,ACADIANA REGIONAL,LOUISIANA,USA,30,2,15,N,91,53,2,W,8,30.038,-91.884
KART,ART,WATERTOWN INTERNATIONAL,WATERTOWN,USA,43,59,30,N,76,1,18,W,100,43.992,-76.022
KATL,ATL,THE WILLIAM B HARTSFIELD ATLANTA INTERNATIONAL,ATLANTA,USA,33,38,25,N,84,25,37,W,313,33.64,-84.427
KAUG,AUG,AUGUSTA STATE,AUGUSTA,USA,44,19,14,N,69,47,50,W,108,44.321,-69.797
KAUS,AUS,AUSTIN BERGSTROM INTERNATIONAL,AUSTIN,USA,30,11,40,N,97,40,11,W,166,30.194,-97.67
KAYE,N/A,N/A,FORT DEVENS,USA,0,0,0,U,0,0,0,U,0,0,0
KBAB,BAB,BEALE AFB,MARYSVILLE,USA,39,8,9,N,121,26,11,W,35,39.136,-121.436
KBAD,BAD,BARKSDALE AFB,SHREVEPORT,USA,32,30,6,N,93,39,45,W,51,32.502,-93.663
KBCT,BCT,BOCA RATON,BOCA RATON,USA,26,22,42,N,80,6,27,W,4,26.378,-80.107
KBDE,BDE,BAUDETTE INTERNATIONAL,BAUDETTE,USA,48,43,42,N,94,36,44,W,332,48.728,-94.612
KBDL,BDL,BRADLEY INTERNATIONAL,WINDSOR LOCKS,USA,41,56,20,N,72,40,59,W,53,41.939,-72.683
KBDR,BDR,IGOR I SIKORSKY MEM,STRATFORD,USA,41,9,48,N,73,7,34,W,3,41.163,-73.126
KBED,BED,LAURENCE G HANSCOM FLD,BEDFORD,USA,42,28,11,N,71,17,20,W,41,42.47,-71.289
KBFI,BFI,BOEING FLD KING CO INTERNATIONAL,SEATTLE,USA,47,31,47,N,122,18,7,W,6,47.53,-122.302
KBFL,BFL,MEADOWS FLD,BAKERSFIELD,USA,35,26,0,N,119,3,24,W,155,35.433,-119.057
KBFM,BFM,MOBILE DOWNTOWN,MOBILE,USA,30,37,35,N,88,4,4,W,8,30.626,-88.068
KBGR,BGR,BANGOR INTERNATIONAL,BANGOR,USA,44,48,26,N,68,49,41,W,59,44.807,-68.828
KBGS,N/A,N/A,BIG SPRINGS,USA,0,0,0,U,0,0,0,U,0,0,0
KBHM,BHM,BIRMINGHAM INTERNATIONAL,BIRMINGHAM,USA,33,33,46,N,86,45,12,W,197,33.563,-86.753
KBIF,BIF,BIGGS AAF,EL PASO,USA,31,50,58,N,106,22,48,W,1203,31.849,-106.38
KBIX,BIX,KEESLER AFB,BILOXI,USA,30,24,39,N,88,55,25,W,11,30.411,-88.924
KBKF,BKF,BUCKLEY AFB,BUCKLEY,USA,39,42,6,N,104,45,5,W,1726,39.702,-104.751
KBLI,BLI,BELLINGHAM INTERNATIONAL,BELLINGHAM,USA,48,47,33,N,122,32,15,W,52,48.792,-122.537
KBLV,BLV,SCOTT AFB MIDAMERICA,BELLEVILLE,USA,38,32,42,N,89,50,6,W,140,38.545,-89.835
KBNA,BNA,NASHVILLE INTERNATIONAL,NASHVILLE,USA,36,7,28,N,86,40,41,W,183,36.124,-86.678
KBOF,N/A,N/A,WASHINGTON,USA,0,0,0,U,0,0,0,U,0,0,0
KBOI,BOI,BOISE AIR TERMINAL,BOISE,USA,43,33,51,N,116,13,22,W,876,43.564,-116.223
KBOS,BOS,GENERAL EDWARD LAWRENCE LOGAN INTERNATIONAL,BOSTON,USA,42,21,51,N,71,0,18,W,6,42.364,-71.005
KBPT,BPT,SOUTHEAST TEXAS RGNL,BEAUMONT,USA,29,57,3,N,94,1,14,W,5,29.951,-94.021
KBRO,BRO,BROWNSVILLE SOUTH PADRE ISLAND INTERNATIONAL,BROWNSVILLE,USA,25,54,24,N,97,25,33,W,7,25.907,-97.426
KBSM,N/A,N/A,AUSTIN,USA,0,0,0,U,0,0,0,U,0,0,0
KBTR,BTR,BATON ROUGE METRO RYAN FLD,BATON ROUGE,USA,30,31,59,N,91,8,58,W,22,30.533,-91.149
KBTV,BTV,BURLINGTON INTERNATIONAL,BURLINGTON,USA,44,28,18,N,73,9,11,W,103,44.472,-73.153
KBUF,BUF,BUFFALO NIAGARA INTERNATIONAL,BUFFALO,USA,42,56,25,N,78,43,55,W,221,42.94,-78.732
KBUR,BUR,BURBANK GLENDALE PASADENA,BURBANK,USA,34,12,2,N,118,21,31,W,238,34.201,-118.359
KBWI,BWI,BALTIMORE WASHINGTON INTERNATIONAL,BALTIMORE,USA,39,10,31,N,76,40,6,W,45,39.175,-76.668
KBYH,BYH,ARKANSAS INTERNATIONAL,BLYTHEVILLE,USA,35,57,51,N,89,56,36,W,77,35.964,-89.943
KBYS,BYS,BICYCLE LAKE AAF,FORT IRWIN,USA,35,16,49,N,116,37,48,W,717,35.28,-116.63
KCAE,CAE,COLUMBIA METROPOLITAN,COLOMBIA,USA,33,56,19,N,81,7,10,W,72,33.939,-81.119
KCAR,CAR,CARIBOU MUNI,CARIBOU,USA,46,52,17,N,68,1,4,W,191,46.871,-68.018
KCBM,CBM,COLUMBUS AFB,COLOMBUS,USA,33,38,38,N,88,26,37,W,67,33.644,-88.444
KCDC,CDC,CEDAR CITY RGNL,CEDAR CITY,USA,37,42,3,N,113,5,55,W,1714,37.701,-113.099
KCDS,CDS,CHILDRESS MUNI,CHILDRESS,USA,34,26,1,N,100,17,17,W,596,34.434,-100.288
KCEF,CEF,WESTOVER ARB METROPOLITAN,CHICOPEE FALLS,USA,42,11,53,N,72,32,3,W,75,42.198,-72.534
KCEW,CEW,BOB SIKES,CRESTVIEW,USA,30,46,43,N,86,31,19,W,65,30.779,-86.522
KCFD,CFD,COULTER FLD,BRYAN,USA,30,42,56,N,96,19,52,W,112,30.716,-96.331
KCGJ,N/A,N/A,MCCONNELL,USA,0,0,0,U,0,0,0,U,0,0,0
KCHA,CHA,LOVELL FLD,CHATTANOOGA,USA,35,2,7,N,85,12,13,W,208,35.035,-85.204
KCHD,N/A,N/A,CHANDLER,USA,0,0,0,U,0,0,0,U,0,0,0
KCHS,CHS,CHARLESTON AFB INTERNATIONAL,CHARLESTON,USA,32,53,55,N,80,2,25,W,14,32.899,-80.04
KCIC,CIC,CHICO MUNI,CHICO,USA,39,47,43,N,121,51,30,W,73,39.795,-121.858
KCLE,CLE,CLEVELAND HOPKINS INTERNATIONAL,CLEVELAND,USA,41,24,42,N,81,50,59,W,242,41.412,-81.85
KCLL,CLL,EASTERWOOD FLD,COLLEGE STATION,USA,30,35,18,N,96,21,49,W,98,30.588,-96.364
KCLT,CLT,CHARLOTTE DOUGLAS INTERNATIONAL,CHARLOTTE,USA,35,12,50,N,80,56,35,W,229,35.214,-80.943
KCMH,CMH,PORT COLUMBUS INTERNATIONAL,COLUMBUS,USA,39,59,52,N,82,53,30,W,249,39.998,-82.892
KCNM,CNM,CAVERN CITY AIR TERMINAL,CARLSBAD,USA,32,20,14,N,104,15,47,W,1005,32.337,-104.263
KCNW,CNW,TSTC WACO,WACO,USA,31,38,16,N,97,4,26,W,144,31.638,-97.074
KCOF,COF,PATRICK AFB,COCO BEACH,USA,28,14,5,N,80,36,36,W,3,28.235,-80.61
KCOS,COS,CITY OF COLORADO SPRINGS MUNI,COLORADO SPRINGS,USA,38,48,20,N,104,42,0,W,1885,38.806,-104.7
KCOT,COT,COTULLA LA SALLE CO,COTULLA,USA,28,27,29,N,99,13,12,W,146,28.458,-99.22
KCOU,COU,COLUMBIA RGNL,COLUMBIA,USA,38,49,5,N,92,13,10,W,271,38.818,-92.219
KCPR,CPR,NATRONA CO INTERNATIONAL,CASPER,USA,42,54,28,N,106,27,51,W,1631,42.908,-106.464
KCRP,CRP,CORPUS CHRISTI INTERNATIONAL,CORPUS CHRISTI,USA,27,46,13,N,97,30,4,W,14,27.77,-97.501
KCTB,CTB,CUT BANK MUNI,CUTBANK,USA,48,36,30,N,112,22,34,W,1175,48.608,-112.376
KCUS,N/A,N/A,COLUMBUS,USA,0,0,0,U,0,0,0,U,0,0,0
KCVG,CVG,CINCINNATI NORTHERN KENTUCKY INTERNATIONAL,CINCINNATI,USA,39,2,46,N,84,39,43,W,274,39.046,-84.662
KCVS,CVS,CANNON AFB,CLOVIS,USA,34,22,57,N,103,19,19,W,1310,34.383,-103.322
KCXL,CXL,CALEXICO INTERNATIONAL,CALEXICO,USA,32,40,10,N,115,30,47,W,2,32.669,-115.513
KCXO,CXO,MONTGOMERY CO,CONROE,USA,30,21,6,N,95,24,52,W,75,30.352,-95.414
KCYS,CYS,CHEYENNE,CHEYENNE,USA,41,9,20,N,104,48,42,W,1877,41.156,-104.812
KDAL,DAL,DALLAS LOVE FLD,DALLAS,USA,32,50,49,N,96,51,6,W,149,32.847,-96.852
KDAY,DAY,JAMES M COX DAYTON INTERNATIONAL,DAYTON,USA,39,54,8,N,84,13,9,W,308,39.902,-84.219
KDCA,DCA,RONALD REAGAN WASHINGTON NATIONAL,WASHINGTON,USA,38,51,7,N,77,2,15,W,5,38.852,-77.037
KDCG,N/A,N/A,SAN DIEGO,USA,0,0,0,U,0,0,0,U,0,0,0
KDDA,N/A,N/A,FORT BELVOIR,USA,0,0,0,U,0,0,0,U,0,0,0
KDEN,DEN,DENVER INTERNATIONAL,DENVER,USA,39,51,30,N,104,40,1,W,1656,39.858,-104.667
KDET,DET,DETROIT CITY,DETROIT,USA,42,24,33,N,83,0,35,W,191,42.409,-83.01
KDFW,DFW,DALLAS FORT WORTH INTERNATIONAL,DALLAS-FORT WORTH,USA,32,53,47,N,97,2,15,W,184,32.896,-97.037
KDHN,DHN,DOTHAN RGNL,DOTHAN,USA,31,19,16,N,85,26,58,W,123,31.321,-85.449
KDHT,DHT,DALHART MUNI,DALHART,USA,36,1,21,N,102,32,50,W,1217,36.023,-102.547
KDLF,DLF,LAUGHLIN AFB,DEL RIO,USA,29,21,34,N,100,46,40,W,330,29.359,-100.778
KDLH,DLH,DULUTH INTERNATIONAL,DULUTH,USA,46,50,31,N,92,11,37,W,436,46.842,-92.194
KDMA,DMA,DAVIS MONTHAN AFB,TUCSON,USA,32,9,59,N,110,52,59,W,825,32.166,-110.883
KDMF,N/A,N/A,DANNELLY,USA,0,0,0,U,0,0,0,U,0,0,0
KDOV,DOV,DOVER AFB,DOVER,USA,39,7,48,N,75,27,59,W,10,39.13,-75.466
KDPA,DPA,DU PAGE,WEST CHICAGO,USA,41,54,28,N,88,14,55,W,232,41.908,-88.249
KDRI,DRI,BEAUREGARD PARISH,DERIDDER,USA,30,49,54,N,93,20,23,W,63,30.832,-93.34
KDRO,DRO,DURANGO LA PLATA CO,DURANGO,USA,37,9,5,N,107,45,13,W,2038,37.151,-107.754
KDRT,DRT,DEL RIO INTERNATIONAL,DEL RIO,USA,29,22,22,N,100,55,33,W,305,29.373,-100.926
KDSM,DSM,DES MOINES INTERNATIONAL,DES MOINES,USA,41,32,2,N,93,39,45,W,292,41.534,-93.663
KDTW,DTW,DETROIT METRO WAYNE CO,DETROIT,USA,42,12,44,N,83,21,12,W,197,42.212,-83.353
KDUG,DUG,BISBEE DOUGLAS INTERNATIONAL,DOUGLAS,USA,31,28,8,N,109,36,13,W,1267,31.469,-109.604
KDYS,DYS,DYESS AFB,ABILENE,USA,32,25,14,N,99,51,16,W,546,32.421,-99.854
KECG,ECG,ELIZABETH CITY CGAS RGNL,ELIZABETH CITY,USA,36,15,38,N,76,10,28,W,4,36.261,-76.174
KEDW,EDW,EDWARDS AFB,EDWARDS AFB,USA,34,54,19,N,117,53,1,W,702,34.905,-117.884
KEFD,EFD,ELLINGTON FLD,HOUSTON,USA,29,36,26,N,95,9,31,W,10,29.607,-95.159
KEGP,EGP,EAGLE PASS MUNI,EAGLE PASS,USA,28,42,0,N,100,28,46,W,246,28.7,-100.479
KEKN,EKN,ELKINS RANDOLPH CO JENNINGS RANDOLPH,ELKINS,USA,38,53,22,N,79,51,25,W,606,38.889,-79.857
KELD,ELD,SOUTH ARKANSAS RGNL AT GOODWIN FLD,EL DORADO,USA,33,13,15,N,92,48,47,W,85,33.221,-92.813
KELP,ELP,EL PASO INTERNATIONAL,EL PASO,USA,31,48,24,N,106,22,40,W,1207,31.807,-106.378
KEND,END,VANCE AFB,ENID,USA,36,20,23,N,97,54,58,W,399,36.34,-97.916
KENV,ENV,WENDOVER,WENDOVER,USA,40,43,7,N,114,1,51,W,1291,40.719,-114.031
KESF,ESF,ESLER RGNL,ALEXANDRIA,USA,31,23,41,N,92,17,44,W,35,31.395,-92.296
KEWN,EWN,CRAVEN CO RGNL,NEW BERN,USA,35,4,22,N,77,2,34,W,6,35.073,-77.043
KEWR,EWR,NEWARK LIBERTY INTERNATIONAL,NEWARK,USA,40,41,32,N,74,10,7,W,6,40.692,-74.169
KEYW,EYW,KEY WEST INTERNATIONAL,KEY WEST,USA,24,33,22,N,81,45,34,W,1,24.556,-81.759
KFAF,FAF,FELKER AAF,FORT EUSTIS,USA,37,7,57,N,76,36,31,W,4,37.133,-76.609
KFAT,FAT,FRESNO YOSEMITE INTERNATIONAL,FRESNO,USA,36,46,34,N,119,43,5,W,103,36.776,-119.718
KFCS,FCS,BUTTS AAF,FORT CARSON,USA,38,40,42,N,104,45,23,W,1780,38.678,-104.756
KFFO,FFO,WRIGHT PATTERSON AFB,DAYTON,USA,39,49,34,N,84,2,54,W,251,39.826,-84.048
KFHU,FHU,SIERRA VISTA MUNI LIBBY AAF,FORT HUACHUCA,USA,31,35,18,N,110,20,39,W,1439,31.588,-110.344
KFLL,FLL,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL,FORT LAUDERDALE,USA,26,4,21,N,80,9,9,W,3,26.072,-80.153
KFLO,FLO,FLORENCE RGNL,FLORENCE,USA,34,11,7,N,79,43,26,W,45,34.185,-79.724
KFLV,FLV,SHERMAN AAF,FORT LEAVENWORTH,USA,39,22,6,N,94,54,52,W,236,39.368,-94.914
KFME,N/A,TIPTON,FORT MEADE,USA,39,5,7,N,76,45,33,W,46,39.085,-76.759
KFMH,FMH,OTIS ANGB,FALMOUTH,USA,41,39,30,N,70,31,17,W,40,41.658,-70.521
KFMN,FMN,FOUR CORNERS RGNL,FARMINGTON,USA,36,44,28,N,108,13,47,W,1679,36.741,-108.23
KFMY,FMY,PAGE FLD,FORT MYERS,USA,26,35,11,N,81,51,47,W,6,26.586,-81.863
KFOD,FOD,FORT DODGE RGNL,FORT DODGE,USA,42,33,5,N,94,11,33,W,353,42.551,-94.193
KFOE,FOE,FORBES FLD,TOPEKA,USA,38,57,3,N,95,39,49,W,329,38.951,-95.664
KFOK,FOK,THE FRANCIS S GABRESKI,WEST HAMPTON BEACH,USA,40,50,37,N,72,37,54,W,21,40.844,-72.632
KFRI,FRI,MARSHALL AAF,FORT RILEY,USA,39,3,18,N,96,45,52,W,325,39.055,-96.764
KFSI,FSI,HENRY POST AAF,FORT SILL,USA,34,38,59,N,98,24,7,W,363,34.65,-98.402
KFSM,FSM,FORT SMITH RGNL,FORT SMITH,USA,35,20,11,N,94,22,2,W,143,35.336,-94.367
KFTK,FTK,GODMAN AAF,FORT KNOX,USA,37,54,25,N,85,58,19,W,231,37.907,-85.972
KFTW,FTW,FORT WORTH MEACHAM INTERNATIONAL,FORT WORTH,USA,32,49,11,N,97,21,44,W,217,32.82,-97.362
KFWH,N/A,N/A,FORT WORTH,USA,0,0,0,U,0,0,0,U,0,0,0
KFXE,FXE,FORT LAUDERDALE EXECUTIVE,FORT LAUDERDALE,USA,26,11,50,N,80,10,14,W,5,26.197,-80.171
KFYV,FYV,DRAKE FLD,FAYETTEVILLE,USA,36,0,18,N,94,10,12,W,382,36.005,-94.17
KGAG,GAG,GAGE,GAGE,USA,36,17,43,N,99,46,35,W,678,36.295,-99.776
KGCK,GCK,GARDEN CITY RGNL,GARDEN CITY,USA,37,55,39,N,100,43,27,W,881,37.927,-100.724
KGEG,GEG,SPOKANE INTERNATIONAL,SPOKANE,USA,47,37,11,N,117,32,1,W,723,47.62,-117.534
KGFA,N/A,N/A,GREAT FALLS,USA,0,0,0,U,0,0,0,U,0,0,0
KGFK,GFK,GRAND FORKS INTERNATIONAL,GRAND FORKS,USA,47,56,57,N,97,10,34,W,258,47.949,-97.176
KGGG,GGG,EAST TEXAS RGNL,LONGVIEW,USA,32,23,5,N,94,42,41,W,112,32.385,-94.711
KGLS,GLS,SCHOLES INTERNATIONAL AT GALVESTON,GALVESTON,USA,29,15,55,N,94,51,37,W,2,29.265,-94.86
KGNT,GNT,GRANTS MILAN MUNI,GRANTS,USA,35,9,55,N,107,54,2,W,1988,35.165,-107.901
KGNV,GNV,GAINESVILLE RGNL,GAINESVILLE,USA,29,41,24,N,82,16,18,W,47,29.69,-82.272
KGRB,GRB,AUSTIN STRAUBEL INTERNATIONAL,GREEN BAY,USA,44,29,6,N,88,7,46,W,212,44.485,-88.129
KGRF,GRF,GRAY AAF,FORT LEWIS,USA,47,4,45,N,122,34,50,W,93,47.079,-122.581
KGRK,GRK,ROBERT GRAY AAF,KILLEEN,USA,31,4,2,N,97,49,44,W,311,31.067,-97.829
KGRR,GRR,GERALD R FORD INTERNATIONAL,GRAND RAPIDS,USA,42,52,51,N,85,31,22,W,242,42.881,-85.523
KGSB,GSB,SEYMOUR JOHNSON AFB,GOLDSBORO,USA,35,20,21,N,77,57,38,W,34,35.339,-77.961
KGTB,GTB,WHEELER SACK AAF,FORT DRUM,USA,44,3,20,N,75,43,10,W,211,44.056,-75.719
KGTF,GTF,GREAT FALLS INTERNATIONAL,GREAT FALLS,USA,47,28,55,N,111,22,14,W,1121,47.482,-111.371
KGUS,GUS,GRISSOM ARB,PERU,USA,40,38,53,N,86,9,7,W,248,40.648,-86.152
KGVT,GVT,MAJORS,GREENVILE,USA,33,4,4,N,96,3,55,W,164,33.068,-96.065
KGVW,GVW,RICHARDS GEBAUR MEMORIAL,GRANDVIEW,USA,38,50,36,N,94,33,38,W,333,38.843,-94.561
KGWO,GWO,GREENWOOD LEFLORE,GREENWOOD,USA,33,29,39,N,90,5,4,W,50,33.494,-90.084
KHAR,HAR,N/A,HARRISBURG,USA,0,0,0,U,0,0,0,U,0,0,0
KHBR,HBR,HOBART MUNI,HOBART,USA,34,59,28,N,99,3,4,W,477,34.991,-99.051
KHFD,HFD,HARTFORD BRAINARD,HARTFORD,USA,41,44,10,N,72,39,0,W,6,41.736,-72.65
KHHR,HHR,JACK NORTHROP FLD HAWTHORNE MUNI,HAWTHORNE,USA,33,55,22,N,118,20,6,W,21,33.923,-118.335
KHIB,HIB,CHISHOLM HIBBING,HIBBING,USA,47,23,11,N,92,50,20,W,413,47.386,-92.839
KHIF,HIF,HILL AFB,OGDEN,USA,41,7,26,N,111,58,22,W,1460,41.124,-111.973
KHKY,HKY,HICKORY RGNL,HICKORY,USA,35,44,28,N,81,23,22,W,363,35.741,-81.389
KHLN,HLN,HELENA RGNL,HELENA,USA,46,36,24,N,111,58,57,W,1182,46.607,-111.983
KHLR,HLR,HOOD AAF,FORT HOOD,USA,31,8,19,N,97,42,52,W,282,31.139,-97.714
KHMN,HMN,HOLLOMAN AFB,ALAMOGORDO,USA,32,51,9,N,106,6,23,W,1248,32.852,-106.106
KHOB,HOB,LEA CO RGNL,HOBBS,USA,32,41,15,N,103,13,1,W,1116,32.688,-103.217
